TKACHENKO, OP
POMOGAILO, AD
LI10, QS
PI, M
HWANG2, NM
STIBR, B
TANAKA2, I
YE2, GX
SASTRY2, M
THORNTONPETT, M
BRUSA, RS
MILLER5, RE
DONG2, SJ
FERRANDO, R
NEUSSER, HJ
KASUYA, A
ROSEN3, A
SHLUGER, AL
MARINE, W
ROESKY, HW
SABIN2, JR
SAPPA, E
JIA2, JF
MCPARTLIN, M
CORAIN, B
VANSTEEN, E
MIYAMOTO2, A
OKAMOTO7, Y
UGALDE, JM
THEVUTHASAN, S
CORRIGAN2, JF
IACONA, F
SPEK, AL
BAIKER, A
KANHERE, DG
FUKUZUMI, S
ALVES2, E
ZHAO5, B
BROWN1, SA
SILVERANS, RE
DOLGUSHIN, FM
ABBATE, M
CLAVERIE, A
JIANG4, JC
ELSHALL, MS
QIANG, Y
DONGARRA, J
LECANTE, P
EICHHOFER, A
GEDANKEN, A
GAO7, S
LEE3, YT
ZHANG5, RQ
SHI, JL
OHDAIRA, T
HEADGORDON, M
MONS, M
SHALAEV, VM
REMITA, H
SCOTT1, RA
PETZELT, J
SUN20, J
KOTANI1, A
WAKISAKA, A
HUMPHREY3, MG
COMPAGNINI, G
ZWIER, TS
PETTERSSON1, LGM
PENG3, SM
LINEBERGER, WC
BAO2, XH
MAIER2, JP
WHANG2, CN
HARUTA, M
ARBIOL, J
BRECHIGNAC, C
BOWERS1, MT
KORTZ, U
KONINGSBERGER, DC
HUYNH, BH
ZAPOROJTCHENKO, V
GODDARD4, WA
FINKE, RG
YANG8, JL
HAUMANN, M
SELLMYER, DJ
EYCHMULLER, A
PIVIN, JC
NAIR2, KGM
MORANTE, JR
BAZIN2, D
GRUNERT, W
IMAHORI, H
LEE11, K
HENDRICKSON, DN
POBLET, JM
STEPANYUK, VS
DITMIRE, T
BERRY2, RS
WEE4, ATS
MOURA, I
BARRANCO, M
CHEN23, H
CEDERBAUM, LS
XUE3, QK
CHANG2, HC
SCHWEIKHARD, L
STACE, AJ
VOLODIN, VA
GUCZI, L
ROGACH, AL
BABONNEAU, D
MOSKOVITS, M
SCHWERDTFEGER, P
PENNYCOOK, SJ
CONRADSON, SD
MESTDAGH, JM
LEE5, GH
OZIN, GA
HENRY2, CR
NORDLUND, K
ILLENBERGER, E
GUBIN, SP
MATOLIN, V
LONGONI, G
GOLBECK, JH
SCHRODER2, D
HAGEN5, WR
GIANTURCO, FA
LEE3, ST
SUMIYAMA, K
SUZUKI3, R
ICHIKAWA4, M
YAMAGUCHI6, K
TAY, BK
BEHM, RJ
NISHI1, N
SOKOLOV, MN
SCHNOCKEL, H
PIREAUX, JJ
FAUPEL, F
ANPO, M
REHR, JJ
HUISKEN, F
RODRIGUEZ4, JA
GAO4, HJ
SACHTLER, WMH
BONDYBEY, VE
QIAN5, YT
SOMORJAI3, GA
DEJONGH1, LJ
TUNIK, SP
BOSCHERINI, F
IGLESIA, E
KAYA, K
PAKKANEN, TA
GUDEL, HU
TOYODA2, N
LEUTWYLER, S
MIKAMI, N
ZENG, XC
GARRISON3, BJ
WUCHER, A
KENNEDY, JD
MATHUR2, P
DOPFER, O
ALONSO2, JA
SUN2, CC
CORONADO, E
RUHL, E
TOSHIMA, N
ADAMS7, RD
SEKIYA, H
CAMPBELL2, EEB
LEE3, JF
CATLOW, CRA
KNOZINGER, H
THOMSON1, AJ
LUCHINAT, C
XU, JQ
ARMELAO, L
FEDIN, VP
SUHM, MA
BESENBACHER, F
EBATA, T
WELLER1, H
BRANDAS, E
KIM10, SK
DALAL3, NS
HU2, CW
MEIWESBROER, KH
TONDELLO, E
SURAUD, E
OHNO2, K
TRAUTWEIN, AX
RAGHAVACHARI, K
HABERLAND, H
LANG, JP
TOENNIES, JP
KIELY, CJ
CATTARUZZA, E
MATSUO, J
REINHARD, PG
SCHWARZ, H
HUANG2, RB
CHAUDRET, B
PELLARIN, M
LESZCZYNSKI, J
ASAKURA2, K
CORNIA, A
PISERI, P
GERBER4, RB
JARROLD, MF
ADACHI5, H
GROSS, S
FUJII4, M
PRADEEP, T
XIN2, XQ
HOFFMAN, BM
MURRAY, RW
BATTAGLIN, G
IWASAWA, Y
ZHENG2, LS
WALES, DJ
SCHAEFER7, HF
WINOGRAD, N
PEREZ6, A
XANTHEAS, SS
GANTEFOR, G
SKORUPA, W
BARBORINI, E
RHEINGOLD, AL
MUNCK, E
PRIOLO, F
VANSANTEN, RA
VIROVETS, AV
HEIZ, U
SESSOLI, R
WANG10, YX
GOODMAN2, DW
KULMALA, M
TRAVERSE, A
DELLANEGRA, S
HOBZA, P
NAKAJIMA1, A
VONHELDEN, G
KONDOW, T
VONISSENDORFF, B
WU7, ZY
POWELL3, AK
SAYKALLY, RJ
HEDMAN, B
JUNGWIRTH, P
YAMADA1, I
SCHLOGL, R
SOLOMON3, EI
MELINON, P
HODGSON, KO
COOKS, RG
GORDON9, MS
HAKKINEN, H
WOSTE, L
WANG5, GH
BUCK1, U
BRAUNSTEIN2, P
KIM6, KS
JENA2, P
NEUMARK, DM
WHETTEN, RL
BILL, E
PALMER3, RE
MAZZOLDI, P
MULLER10, A
FRAUENHEIM, T
MOLLER2, T
MATTEI, G
XU22, L
SONG, YL
BROYER, M
DUNCAN, MA
CANESCHI, A
MARK2, TD
LIEVENS, P
MILANI2, P
BONACICKOUTECKY, V
KAPPES, MM
PACCHIONI, G
BOWEN1, KH
CHRISTOU, G
LEE27, S
JOHNSON3, MA
SCHEIER, P
WANG2, EB
JOHNSON2, BFG
MEIJER4, G
ROSCH, N
KAWAZOE, Y
GATTESCHI, D
FENSKE, D
CASTLEMAN, AW
SCHMID5, G
WANG47, L
GATES4, BC
FREUND2, HJ
WANG5, LS
ZHANG75, Y
ZHANG42, J
WANG54, Y
