LIU10, HF
KOLB3, DM
CHAKRABORTY1, T
WOICIK, JC
ZACHARIAS, M
YANG11, SH
BOGDANCHIKOVA, N
TOMITA2, S
SENTIS, M
CHEN15, W
MURAMATSU2, Y
NAKANAGA, T
SUZDALEV3, IP
BELLONI, J
BRUCKNER1, A
NOVOTORTSEV, VM
VACH, H
LIFSHITZ1, E
LIEBER, CM
LIPKOWSKI, J
PASTOR2, GM
MICHELY, T
KINOSHITA, I
EHARA1, M
BAKER, SH
BUTTET, J
MUKHERJEE4, T
SCHNEPF, A
KAUZLARICH, SM
NACHTIGALL, P
HRBEK, J
BREYSSE, M
CAMMACK, R
NAKATSUJI2, H
BAERENDS, EJ
STOECKLIEVANS, H
VARGAFTIK, MN
MAHAMUNI, S
ZHANG, QE
PARK2, JT
SCOLES, G
KEMPTER, V
HASHIMOTO11, K
HIRAOKA2, K
LI11, C
ZHONG, CJ
IIJIMA2, S
CANUTO, S
ASCENCIO, JA
RICHMOND2, MG
HERMANN, K
WAKABAYASHI3, T
XU4, GQ
VITTAL, JJ
GERTHSEN, D
JACOBS1, PA
BANDO, KK
PECORARO, VL
RADLOFF, W
KRESIN, VV
MOROKUMA, K
ZUHR, RA
CAMPBELL1, CT
KITAGAWA2, Y
NUZZO, RG
CHU1, PK
PILENI, MP
ALIVISATOS, AP
SZALEWICZ, K
STOLL3, H
RAO2, CNR
KAMBA, S
DEMANGEAT, C
SPATZ, JP
METIU, H
SOLOV'YOV, AV
SCHMIDBAUR, H
TOKURA, Y
SIMONS2, JP
TRAGER, F
NEMUKHIN, AV
OELHAFEN, P
FRANZO, G
ROSSELL, O
HUBER, BA
HORMES, J
TUROV, VV
SECO, M
REETZ, MT
CHAKI, NK
KIM11, DH
TERASAKI, A
PANDEY3, R
TEIXEIRA1, SR
SECHERESSE, F
FASSLER, TF
BACIC, Z
YIN2, YQ
OGALE, SB
LIN3, IN
KARWASZ, GP
HEINIG, KH
RAMAKER, DE
BRACK, M
MCMAHON2, TB
NAVARRO, J
SANCHEZ1, C
FINK2, D
SONG3, LC
HU, QM
ADAMOWICZ, L
DREWELLO, T
ZHAO10, L
FAN3, KN
TAKANO2, M
HOVEL, H
DVURECHENSKII, AV
DAU, H
PETROVSKII, PV
ILA, D
PANIGRAHI, BK
KAMAT5, PV
DUNSCH, L
NIKIFOROV, AI
SHENG1, LS
MAKSIMOV1, YV
SCHWEIKERT, EA
PETRANOVSKII, VP
VANDUYNE, RP
CARTY, AJ
ZUBIETA, J
VIJAYAMOHANAN, K
KLEINERMANNS, K
CLAEYS2, M
MOLLER4, M
TOULEMONDE, M
MCGLINCHEY, MJ
CHELIKOWSKY, JR
SARMA4, DD
SHRIVER, DF
MOMOSE, T
KUBO2, M
WANG12, XS
YE2, GX
LEBEYEC, Y
VANBOKHOVEN, JA
POMOGAILO, AD
PI, M
NAAMAN, R
HWANG2, NM
STIBR, B
HONG1, MC
SCHULZEKLOFF, G
GONG3, XG
SASTRY2, M
NOZUE, Y
BRUSA, RS
VISTICOT, JP
MILLER5, RE
UEDONO, A
DONG2, SJ
FERRANDO, R
NEUSSER, HJ
KASUYA, A
MOSTAFAVI, M
ACHIBA, Y
KORNOWSKI, A
MARINE, W
DIMICOLI, I
FRAISSARD, J
ROSEN3, A
SHLUGER, AL
ROESKY, HW
SABIN2, JR
PENSL, G
SAPPA, E
JIA2, JF
CORAIN, B
VANSTEEN, E
GARZON, IL
KIM4, YD
MIYAMOTO2, A
OKAMOTO7, Y
UGALDE, JM
THEVUTHASAN, S
CORRIGAN2, JF
SKELTON2, BW
WHITE, AH
IACONA, F
DELGASS, WN
BRUDVIG, GW
BAIKER, A
KANHERE, DG
EVANS1, JW
CAHUZAC, P
KOCHUBEY, DI
DELGADOBARRIO, G
BORONIN, AI
SPEK, AL
FUKUZUMI, S
ALVES2, E
ZHAO5, B
RAPTOPOULOU, CP
FUJII4, A
RYOO, R
KUBIAK, CP
BROWN1, SA
SILVERANS, RE
DOLGUSHIN, FM
STUCKY, GD
MORI4, H
ABBATE, M
HVELPLUND, P
CLAVERIE, A
JIANG4, JC
YANOVSKY, AI
ELSHALL, MS
DONGARRA, J
LECANTE, P
EICHHOFER, A
GEDANKEN, A
GAO7, S
VASAK, M
VILESOV, AF
SHI, JL
LLUSAR, R
HEADGORDON, M
LEE3, YT
SHALAEV, VM
BERTRAND2, P
KIM31, JH
SCOTT1, RA
ZHANG5, RQ
OHDAIRA, T
REMITA, H
WILCOXON, JP
PETZELT, J
SUN20, J
KOTANI1, A
WAKISAKA, A
HUMPHREY3, MG
COMPAGNINI, G
PETTERSSON1, LGM
VILLARREAL, P
PENG3, SM
DAVIES1, G
LINEBERGER, WC
BAO2, XH
MAIER2, JP
SMALLEY, RE
WHANG2, CN
HARUTA, M
PSARO, R
BRECHIGNAC, C
ARBIOL, J
HARBICH, W
BOWERS1, MT
KORTZ, U
KIM28, S
KONINGSBERGER, DC
HUYNH, BH
ZAPOROJTCHENKO, V
AGREN, H
RIZK, R
GODDARD4, WA
FINKE, RG
BONNEMANN, H
LERME, J
YANG8, JL
BRUTSCHY, B
HAUMANN, M
SELLMYER, DJ
EYCHMULLER, A
PIVIN, JC
NAIR2, KGM
MORANTE, JR
BAZIN2, D
HIHARA, T
IMAHORI, H
OYANAGI, H
TANIGUCHI2, M
DITMIRE, T
MISIUK, A
BERRY2, RS
WEE4, ATS
HENDRICKSON, DN
HALBERSTADT, N
MOURA, I
KRAUSEREHBERG, R
STACE, AJ
BARRANCO, M
CEDERBAUM, LS
XUE3, QK
CHANG2, HC
SCHWEIKHARD, L
ARMENTROUT, PB
CHEN4, ZF
VOLODIN, VA
MOSKOVITS, M
BABONNEAU, D
SCHWERDTFEGER, P
PENNYCOOK, SJ
FEDOROV, VE
TANG, ZC
BINNS, C
MESTDAGH, JM
DESFRANCOIS, C
JORTNER, J
LEE5, GH
ADAMS3, MWW
OZIN, GA
HENRY2, CR
NORDLUND, K
ILLENBERGER, E
GUBIN, SP
SAUER4, J
MATOLIN, V
SIRONI, A
GOLBECK, JH
SCHRODER2, D
HAGEN5, WR
GIANTURCO, FA
FIERRO, JLG
LEE3, ST
SUMIYAMA, K
SUZUKI3, R
VEGA2, A
ICHIKAWA4, M
YAMAGUCHI6, K
TAY, BK
BEHM, RJ
BERTINI, I
NISHI1, N
SOKOLOV, MN
BONDYBEY, VE
PIREAUX, JJ
FAUPEL, F
ANPO, M
REHR, JJ
SCHNOCKEL, H
HUISKEN, F
RODRIGUEZ4, JA
GAO4, HJ
SACHTLER, WMH
QIAN5, YT
LEE7, HM
SOMORJAI3, GA
DEJONGH1, LJ
TUNIK, SP
BOSCHERINI, F
IGLESIA, E
KAYA, K
PAKKANEN, TA
GUDEL, HU
TOYODA2, N
THOMAS4, JM
LEUTWYLER, S
MIKAMI, N
MOURA, JJG
ZENG, XC
GARRISON3, BJ
KENNEDY, JD
DYSON2, PJ
MATHUR2, P
ALONSO2, JA
SUN2, CC
HAUKKA, M
GOURBILLEAU, F
CORONADO, E
SAKURAI6, T
RUHL, E
ADAMS7, RD
TOSHIMA, N
TIRIPICCHIO, A
CATLOW, CRA
PENG2, J
CAMPBELL2, EEB
THOMSON1, AJ
LUCHINAT, C
KNOZINGER, H
XU, JQ
MIZOKAWA, T
ARMELAO, L
FEDIN, VP
FUJIMORI, A
BESENBACHER, F
EBATA, T
WELLER1, H
DALAL3, NS
KIM10, SK
GUET, C
MEIWESBROER, KH
TONDELLO, E
SURAUD, E
OHNO2, K
TRAUTWEIN, AX
RAGHAVACHARI, K
HABERLAND, H
LANG, JP
TOENNIES, JP
KIELY, CJ
CATTARUZZA, E
MATSUO, J
REINHARD, PG
SCHWARZ, H
HUANG2, RB
CHAUDRET, B
PELLARIN, M
LESZCZYNSKI, J
EBERHARDT, W
ASAKURA2, K
CORNIA, A
PISERI, P
GONELLA, F
GERBER4, RB
JARROLD, MF
ADACHI5, H
FUJII4, M
GROSS, S
PRADEEP, T
XIN2, XQ
HOFFMAN, BM
MURRAY, RW
KANJILAL, D
BATTAGLIN, G
IWASAWA, Y
ZHENG2, LS
WALES, DJ
SCHAEFER7, HF
WINOGRAD, N
PEREZ6, A
GANTEFOR, G
SKORUPA, W
BARBORINI, E
MUNCK, E
PRIOLO, F
VANSANTEN, RA
VIROVETS, AV
HEIZ, U
RAITHBY, PR
SESSOLI, R
WANG10, YX
GOODMAN2, DW
KULMALA, M
DELLANEGRA, S
BRECHIN, EK
HOBZA, P
NAKAJIMA1, A
VONHELDEN, G
ILLAS, F
KONDOW, T
LI5, YG
WU7, ZY
SAYKALLY, RJ
JUNGWIRTH, P
HEDMAN, B
CLERAC, R
YAMADA1, I
JORDAN7, KD
HERTEL2, IV
MELINON, P
SOLOMON3, EI
HODGSON, KO
ZANELLO, P
COOKS, RG
GORDON9, MS
SCHLEYER, PV
HAKKINEN, H
WOSTE, L
ZHAO2, JJ
WANG5, GH
BUCK1, U
BRAUNSTEIN2, P
KIM6, KS
JENA2, P
NEUMARK, DM
WHETTEN, RL
BILL, E
PALMER3, RE
MAZZOLDI, P
MULLER10, A
FRAUENHEIM, T
MATTEI, G
MOLLER2, T
XU22, L
SONG, YL
BROYER, M
DUNCAN, MA
CANESCHI, A
MARK2, TD
LIEVENS, P
MILANI2, P
BONACICKOUTECKY, V
KAPPES, MM
PACCHIONI, G
BOWEN1, KH
CHRISTOU, G
LEE27, S
JOHNSON3, MA
SCHEIER, P
WANG2, EB
JOHNSON2, BFG
MEIJER4, G
ROSCH, N
KAWAZOE, Y
GATTESCHI, D
FENSKE, D
CASTLEMAN, AW
SCHMID5, G
WANG47, L
GATES4, BC
FREUND2, HJ
WANG5, LS
ZHANG42, J
WANG54, Y
