KOILLER, B
TANG3, JC
HENGLEIN, A
TOMALIA, DA
BARTELL, LS
SCHERSON, DA
CATARA, F
BECUE, T
WANG17, CY
KIZUKA, T
VEDRINE, JC
LARSEN2, G
RU, BG
KELLEY2, DF
STEIGERWALD, ML
FELENBOK, B
MCELVANY, SW
DEWHIRST, FE
BERTOLINI1, JC
WEINER2, JH
MARCH, RE
APELL, SP
DIJKSHOORN, L
HERMAN1, M
HUTTNER, G
YAM2, VWW
KEISTER, JB
LENTZ, D
GAMBAROTTA, S
DEVOS1, WM
MILCHEV, A
STACKEBRANDT, E
HAWKINS, AR
EVANS2, DJ
TOPP, MR
STRAHLE, J
MOROOKA, Y
DEPRISTO, AE
ZOU, YH
SATO27, K
BENJACOB, E
AONO, M
BATAIL, P
OJAMAE, L
KNOZINGER, E
RASSAT, A
PETTERSSON, JBC
NIBBERING, NMM
SUNDGREN, JE
LARIA, D
BASTUG, T
FURRER2, A
SHUVAEV, AT
MICKLITZ, H
RENGER, G
LOEHR, TM
BAGGIOSAITOVITCH, E
GRAHAM, WRM
NISHIHARA, K
ABOUKAIS, A
KROTSCHECK, E
KIRSCH2, R
BUREAU, C
SHI1, X
SAHU1, SN
BALASUBRAMANIAN6, K
CHRISTIANSEN2, J
FONTECILLACAMPS, JC
MCCARLEY, RE
MARTIN3, JML
JAEGERMANN, W
FAN, XJ
CLARY, DC
TSONG, TT
ZERBETTO, F
DAGOTTO, E
VANDENOETELAAR, LCA
HIRAGA, K
SELZLE, HL
BLOOMFIELD, LA
PEYERIMHOFF, SD
BEINERT, H
VALA, M
PIRRI, CF
KAGI, JHR
MARTIN4, TP
GERBER3, G
NIELSEN2, B
FUCHS2, H
GRUTZMACHER, D
BLAKE1, GA
BALOOCH, M
IVANOVOMSKII, VI
WOGGON, U
FISHER, KJ
THIEL5, W
XUE, ZQ
HASLETT, TL
GIORGIS, F
FEE, JA
BLINC, R
VALETSKY, PM
TRIBUTSCH, H
MULLER2, JF
HOLL1, MMB
